Product name,Vaccine status,WHO review,Description,Developers,Highest Development Phase,Species,Life cycle,Antigen,Platform,Adjuvant,Route of administration,Trial status,Trial phase,Trial sites,Trial end year,CHMI site,Registry ID,Link to trial
ACT-1239,Active,,Safety and immunogenicity of synthetic nanocapsule malaria vaccine ACT-1239 in healthy adults,Alfred Research and Medical Education Precinct (AMREP); Burnet Institue,Phase I,P. falciparum,Pre-erythrocytic stage,PfCSP,Synthetic peptide,,Intramuscular,Completed,Phase I,Australia,2021,No,ACTRN12619001022156,https://anzctr.org.au/ACTRN12619001022156.aspx
Ad35.CS.01,Inactive,,"Immunogenicity, safety, and reactogenicity of Ad35.CS.01 in Burkinabè, semi-immune, healthy adults 18 to 45 years",US National Institute of Allergy and Infectious Diseases (NIAID),Phase I,P. falciparum,Pre-erythrocytic stage,PfCSP,Recombinant viral vector,,Intramuscular,Completed,Phase I,Burkina Faso,2011,No,NCT01018459,https://clinicaltrials.gov/ct2/show/NCT01018459
Ad35.CS.01,Inactive,,"Dose-escalation trial on immunogenicity, safety, and reactogenicity of Ad35.CS.01 in healthy US adults",US National Institute of Allergy and Infectious Diseases (NIAID),Phase I,P. falciparum,Pre-erythrocytic stage,PfCSP,Recombinant viral vector,,Parenteral,Completed,Phase I,United States,2014,No,NCT00371189,https://clinicaltrials.gov/ct2/show/NCT00371189
Ad35.CS.01 + Ad26.CS.01,Inactive,,"Dose-escalation study evaluating safety, tolerability, immunogenicity, and protective efficacy of Ad35.CS.01 and Ad26.CS.01 as heterologous prime-boost regimen",Crucell; PATH; Seattle Children's Research Institute,Phase II,P. falciparum,Pre-erythrocytic stage,PfCSP,Recombinant viral vector,,Parenteral,Completed,Phase I/IIa,United States,2012,Yes,NCT01397227,https://clinicaltrials.gov/ct2/show/NCT01397227
"Ad35.CS.01 + RTS,S/AS01E",Inactive,,"Heterologous prime boost - 1 dose of Ad35.CS.01 vaccine, followed by 2 doses RTS,S/AS01E","GlaxoSmithKline (GSK), PATH; Crucell",Phase II,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle,Recombinant viral vector",AS01E,Intramuscular,Completed,Phase II,United States,2012,Yes,NCT01366534,https://clinicaltrials.gov/ct2/show/NCT01366534
BK-SE36,Inactive,,Phase 1a of BK-SE36 in Japan,Osaka University,Phase I,P. falciparum,Blood stage,PfSERA5,Recombinant subunit,,Subcutaneous,Completed,Phase I,Japan,2005,No,ISRCTN78679862,https://trialsearch.who.int/Trial2.aspx?TrialID=ISRCTN78679862
BK-SE36/Alhydrogel,Inactive,,Phase 1b of BK-SE36 in Uganda,Nobelpharma; Osaka University; European Vaccine Initiative (EVI),Phase I,P. falciparum,Blood stage,PfSERA5,Recombinant subunit,Alhydrogel,Parenteral,Completed,Phase I,Uganda,2010,No,ISRCTN71619711,https://trialsearch.who.int/Trial2.aspx?TrialID=ISRCTN71619711
BK-SE36/Alhydrogel,Inactive,,"Phase 1b age de-escalation study of BK-SE36/Alhydrogel, subcutaneously or intramuscularly, in healthy malaria exposed African children living in Burkina Faso","Nobelpharma; Osaka University; European Vaccine Initiative (EVI); Centre National de Recherche et de Formation sur la Paludisme, Burkina Faso",Phase I,P. falciparum,Blood stage,PfSERA5,Recombinant subunit,Alhydrogel,Intramuscular; Subcutaneous,Completed,Phase I,Burkina Faso,2017,No,PACTR201411000934120,https://trialsearch.who.int/Trial2.aspx?TrialID=PACTR201411000934120
BK-SE36/CpG,Active,,Age de-escalation study of BK-SE36/CpG intramuscularly in healthy malaria exposed African adults and children living in Burkina Faso,"Nobelpharma; Osaka University; European Vaccine Initiative (EVI); Centre National de Recherche et de Formation sur la Paludisme, Burkina Faso",Phase I,P. falciparum,Blood stage,PfSERA5,Recombinant subunit,CpG,Intramuscular,Completed,Phase I,Burkina Faso,2020,No,PACTR201701001921166,https://trialsearch.who.int/Trial2.aspx?TrialID=PACTR201701001921166
BK-SE36/CpG,Active,,Safety and immunogenicity of BK-SE36/CpG in healthy Japanese adult males,Osaka University,Phase I,P. falciparum,Blood stage,PfSERA5,Recombinant subunit,CpG,Intramuscular,Completed,Phase I,Japan,,No,JPRN-JMA-IIA00109,https://trialsearch.who.int/Trial2.aspx?TrialID=JPRN-JMA-IIA00109
BK-SE36/CpG,Active,,Immunological response to BK-SE36/CpG,"National Institutes of Biomedical Innovation, Health and Nutrition",Phase I,P. falciparum,Blood stage,PfSERA5,Recombinant subunit,CpG,Intramuscular,Completed,Phase I,Japan,,No,JPRN-UMIN000012980,https://trialsearch.who.int/Trial2.aspx?TrialID=JPRN-UMIN000012980
BK-SE36/CpG,Active,,Clinical pharmacology study to assess safety and immunogenicity of BK-SE36/CpG malaria vaccine in healthy Japanese adult males,Osaka University; Biken Techno Corp,Phase I,P. falciparum,Blood stage,PfSERA5,Recombinant subunit,CpG,Intramuscular,Completed,Phase I,Japan,2014,No,JPRN-jRCT2090220109,https://jrct.niph.go.jp/latest-detail/jRCT2090220109
BNT165b1,Active,,"Safety, tolerability and immunogenicity of RNA-based malaria vaccine",BioNTech SE,Phase I,P. falciparum,Pre-erythrocytic stage,PfCSP,RNA vaccine,,Intramuscular,Ongoing,Phase I,United States,2024 (expected),No,NCT05581641,https://clinicaltrials.gov/study/NCT05581641
BNT165e,Active,,"Safety, tolerability, immunogenicity, and efficacy of RNA-based malaria vaccine in healthy malaria naïve adults",BioNTech SE,Phase II,P. falciparum,Pre-erythrocytic stage,PfCSP,RNA vaccine,,Intramuscular,Ongoing,Phase I/II,United States,2025 (expected),Yes,NCT06069544,https://clinicaltrials.gov/study/NCT06069544
BSAM2/Alhydrogel/CPG 7909,Inactive,,Safety and immunogenicity of BSAM2 with adjuvants Alhydrogel and CGP 7909 in adults in the US and Mali,US National Institute of Allergy and Infectious Diseases (NIAID),Phase I,P. falciparum,Blood stage,"PfMSP1,PfAMA1",Recombinant subunit,"Alhydrogel,CPG 7909",Intramuscular,Completed,Phase I,United States;Mali,2012,No,NCT00889616,https://clinicaltrials.gov/ct2/show/NCT00889616
ChAd63 ME-TRAP + MVA ME-TRAP;ChAd63 ME-TRAP,Inactive;Inactive,None;None,Sporozoite challenge study to assess protection against malaria in healthy adults vaccinated with ChAd63 ME-TRAP and MVA ME-TRAP,University of Oxford,Phase II;Phase II,P. falciparum;P. falciparum,Pre-erythrocytic stage;Pre-erythrocytic stage,ME-TRAP;ME-TRAP,Recombinant viral vector;Recombinant viral vector,None;None,Intramuscular;Intramuscular,Completed,Phase II;Phase II,United Kingdom,2011,Yes,NCT00890760,https://clinicaltrials.gov/study/NCT00890760
ChAd63 ME-TRAP + MVA ME-TRAP;ChAd63 ME-TRAP,Inactive;Inactive,None;None,"Sporozoite challenge study to assess safety, immunogenicity and protective efficacy of intravenous boosting with ChAd63 and MVA encoding ME-TRAP",University of Oxford,Phase II;Phase II,P. falciparum;P. falciparum,Pre-erythrocytic stage;Pre-erythrocytic stage,ME-TRAP;ME-TRAP,Recombinant viral vector;Recombinant viral vector,None;None,"Intramuscular,Intravenous;Intramuscular,Intravenous",Completed,Phase II;Phase II,United Kingdom,2019,Yes,NCT03707353,https://clinicaltrials.gov/study/NCT03707353
ChAd63 ME-TRAP;MVA ME-TRAP,Inactive;Active,None;None,Safety and immunogenicity of novel routes of administration for ChAd63 and MVA encoding ME-TRAP,University of Oxford,Phase II;Phase II,P. falciparum;P. falciparum,Pre-erythrocytic stage;Pre-erythrocytic stage,ME-TRAP;ME-TRAP,Recombinant viral vector;Recombinant viral vector,None;None,"Intravenous,Subcutaneous;Intravenous",Completed,Phase I,United Kingdom,2020,No,NCT03084289,https://clinicaltrials.gov/study/NCT03084289
ChAd63 MSP1;ChAd63-MVA MSP1,Inactive;Inactive,None;None,Safety and immunogenicity of ChAd63 MSP alone and with MVA MSP1,University of Oxford,Phase II;Phase II,P. falciparum;P. falciparum,Blood stage;Blood stage,PfMSP1;PfMSP1,Recombinant viral vector;Recombinant viral vector,None;None,Intramuscular;Intramuscular,Completed,Phase I/IIa;Phase I/IIa,United Kingdom,2010,Yes,NCT01003314,https://clinicaltrials.gov/study/NCT01003314
ChAd63 PfAMA1;ChAd63-MVA PfAMA1,Inactive;Inactive,None;None,Safety and immunogenicity of ChAd63 AMA1 alone and with MVA AMA1,University of Oxford,Phase II;Phase II,P. falciparum;P. falciparum,Blood stage;Blood stage,PfAMA1;PfAMA1,Recombinant viral vector;Recombinant viral vector,None;None,Intramuscular,Completed,Phase I,United Kingdom,2010,No,NCT01095055,https://clinicaltrials.gov/ct2/show/NCT01095055
ChAd63 PfAMA1;MVA PfAMA1;ChAd63 MSP1;MVA MSP1;ChAd63-MVA ME-TRAP,Inactive;Inactive;Inactive;Inactive;Inactive,None;None;None;None;None,"Phase I/IIa sporozoite challenge study to assess the protective efficacy of ChAd63 AMA1, MVA AMA1, ChAd63 MSP1, MVA MSP1, ChAd63 ME-TRAP and MVA ME-TRAP (VAC039)",University of Oxford,Phase II;Phase II;Phase II;Phase II;Phase II,P. falciparum;P. falciparum;P. falciparum;P. falciparum;P. falciparum,Blood stage;Blood stage;Blood stage;Blood stage;Pre-erythrocytic stage,PfAMA1;PfAMA1;PfMSP1;PfMSP1;ME-TRAP,Recombinant viral vector;Recombinant viral vector;Recombinant viral vector;Recombinant viral vector;Recombinant viral vector,None;None;None;None;None,Intramuscular,Completed,Phase I/IIa,United Kingdom,2011,Yes,NCT01142765; EUCTR2010-018341-56-GB,https://clinicaltrials.gov/ct2/show/NCT01142765; https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2010-018341-56
ChAd63 PfAMA1;MVA PfAMA1;PfAMA1-C1/Alhydrogel;PfAMA1-C1/Alhydrogel/CPG 7909,Inactive;Inactive;Inactive;Inactive,None;None;None;None,"Safety and immunogenicity of ChAd63 PfAMA1, MVA PfAMA1 and PfAMA1-C1 adjuvanted with Alhydrogel alone or with CPG 7909",University of Oxford; US National Institute of Allergy and Infectious Diseases (NIAID),Phase II;Phase II;Phase II;Phase II,P. falciparum;P. falciparum;P. falciparum;P. falciparum,Blood stage;Blood stage;Blood stage;Blood stage,PfAMA1;PfAMA1;PfAMA1;PfAMA1,Recombinant viral vector;Recombinant viral vector;Recombinant subunit;Recombinant subunit,"None;None;Alhydrogel;Alhydrogel,CPG 7909",Intramuscular,Completed,Phase I,United Kingdom,2013,No,NCT01351948,https://clinicaltrials.gov/ct2/show/NCT01351948
ChAd63-MVA CS;ChAd63-MVA ME-TRAP,Inactive;Inactive,None;None,Sporozoite challenge study to assess protective efficacy of two prime-boost malaria vaccine candidates: ChAd63 MVA endocing ME-TRAP and the same viral vectors encoding CS,University of Oxford,Phase II;Phase II,P. falciparum;P. falciparum,Pre-erythrocytic stage;Pre-erythrocytic stage,PfCSP;ME-TRAP,Recombinant viral vector;Recombinant viral vector,None;None,Intramuscular;Intramuscular,Completed,Phase I/II,United Kingdom,2012,Yes,NCT01623557,https://clinicaltrials.gov/study/NCT01623557
ChAd63-MVA ME-TRAP,Inactive,,"Heterologous prime boost - ChAd63 ME-TRAP prime, followed by MVA ME-TRAP boost in healthy infants and children (5-17 months old)  in Burkina Faso","University of Oxford; Okairos; Centre National de Recherche et de Formation sur la Paludisme, Burkina Faso; European & Developing Countries Clinical Trials Partnership (EDCTP); European Vaccine Initaitive (EVI)",Phase II,P. falciparum,Pre-erythrocytic stage,ME-TRAP,Recombinant viral vector,,Intramuscular,Completed,Phase II,Burkina Faso,2014,No,NCT01635647,https://clinicaltrials.gov/ct2/show/NCT01635647
ChAd63-MVA ME-TRAP,Inactive,,"Heterologous prime boost - ChAd63 ME-TRAP prime, followed by MVA ME-TRAP boost in healthy infants (10 weeks old, 5-12 months old) in The Gambia",University of Oxford; Medical Research Council (MRC) The Gambia; European & Developing Countries Clinical Trials Partnership (EDCTP); European Vaccine Initiative (EVI),Phase II,P. falciparum,Pre-erythrocytic stage,ME-TRAP,Recombinant viral vector,,Intramuscular,Completed,Phase I,The Gambia,2013,No,NCT01450293,https://clinicaltrials.gov/ct2/show/NCT01450293
ChAd63-MVA ME-TRAP,Inactive,,"Heterologous prime boost - ChAd63 ME-TRAP prime, followed by MVA ME-TRAP boost in healthy adult (18-50 years old) and children (2-6 years old) volunteers in The Gambia",University of Oxford; Medical Research Council (MRC) The Gambia; European & Developing Countries Clinical Trials Partnership (EDCTP); European Vaccine Initiative (EVI),Phase II,P. falciparum,Pre-erythrocytic stage,ME-TRAP,Recombinant viral vector,,Intramuscular,Completed,Phase I,The Gambia,2011,No,NCT01373879,https://clinicaltrials.gov/ct2/show/NCT01373879
ChAd63-MVA ME-TRAP,Inactive,,"Heterologous prime boost - ChAd63 ME-TRAP prime, followed by MVA ME-TRAP boost in healthy adult volunteers in Kenya",University of Oxford; Kenya Medical Research Institute (KEMRI); European & Developing Countries Clinical Trials Partnership (EDCTP); European Vaccine Initiative (EVI),Phase II,P. falciparum,Pre-erythrocytic stage,ME-TRAP,Recombinant viral vector,,Intramuscular,Completed,Phase I,Kenya,2011,No,NCT01379430,https://clinicaltrials.gov/ct2/show/NCT01379430
ChAd63-MVA ME-TRAP,Inactive,,"Heterologous prime boost - ChAd63 ME-TRAP prime, followed by MVA ME-TRAP boost in health men (18-50 years old) volunteers in Senegal",University of Oxford; Université Cheikh Anta Diop (UCAD); European Vaccine Initiative (EVI),Phase II,P. falciparum,Pre-erythrocytic stage,ME-TRAP,Recombinant viral vector,,Intramuscular,Completed,Phase II,Senegal,2013,No,NCT01658696; PACTR201303000499409,https://clinicaltrials.gov/study/NCT01658696; https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=499
ChAd63-MVA ME-TRAP,Inactive,,Safety and immunogenicity of novel vaccination schedules with malaria vaccines ChAd63 ME-TRAP and MVA ME-TRAP,University of Oxford,Phase II,P. falciparum,Pre-erythrocytic stage,ME-TRAP,Recombinant viral vector,,Intramuscular,Completed,Phase I,United Kingdom,2013,No,NCT01364883,https://clinicaltrials.gov/study/NCT01364883
ChAd63-MVA ME-TRAP,Inactive,,Efficacy of ChAd63 MVA ME-TRAP prime-boost vaccination,University of Oxford; Kenya Medical Research Institute (KEMRI),Phase II,P. falciparum,Pre-erythrocytic stage,ME-TRAP,Recombinant viral vector,,Intramuscular,Completed,Phase II,Kenya,2012,No,NCT01666925,https://clinicaltrials.gov/study/NCT01666925
ChAd63-MVA ME-TRAP,Inactive,,Safety and immunogenicity of ChAd63 ME-TRAP and MVA ME-TRAP heterologous prime-boost vaccination co-administered with EPI vaccines in Gambian infants,University of Oxford; Malaria Vectored Vaccines Consortium; Medical Research Council The Gambia,Phase II,P. falciparum,Pre-erythrocytic stage,ME-TRAP,Recombinant viral vector,,Intramuscular,Completed,Phase I,The Gambia,2015,No,NCT02083887,https://clinicaltrials.gov/study/NCT02083887
ChAd63-MVA ME-TRAP PfCSP PfAMA1;ChAd63-MVA ME-TRAP PfCSP,Inactive;Inactive,None;None,"Heterologous prime boost - ChAd63 ME-TRAP prime, followed by MVA ME-TRAP boost in health malaria naive adult volunteers (18-45 years old) (VAC052)",University of Oxford; GenVec; GlaxoSmithKline (GSK); PATH; US Department of Defense (DOD),Phase II;Phase II,P. falciparum;P. falciparum,"Pre-erythrocytic stage,Blood stage;Pre-erythrocytic stage","PfCSP,ME-TRAP,PfAMA1;PfCSP,ME-TRAP",Recombinant viral vector;Recombinant viral vector,None;None,Intramuscular,Completed,Phase II,United Kingdom,2013,Yes,NCT01739036; EUCTR2012-004416-66-GB,https://clinicaltrials.gov/ct2/show/NCT01739036; https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2012-004416-66
ChAd63-MVA ME-TRAP/Matrix M1,Inactive,,Safety and immunogenicity of ChAd63 ME-TRAP / MVA ME-TRAP heterologous prime boost malaria vaccination adjuvanted with Matrix M,University of Oxford,Phase II,P. falciparum,Pre-erythrocytic stage,ME-TRAP,Recombinant viral vector,Matrix M1,Intramuscular,Completed,Phase I,United Kingdom,2014,No,NCT01669512,https://clinicaltrials.gov/study/NCT01669512
ChAd63-MVA ME-TRAP;ChAd63 ME-TRAP,Inactive;Inactive,None;None,Safety and immunogenicity of ChAd63 ME-TRAP alone and with MVA ME-TRAP using a prime-boost regimen,University of Oxford,Phase II;Phase II,P. falciparum;P. falciparum,Pre-erythrocytic stage;Pre-erythrocytic stage,ME-TRAP;ME-TRAP,Recombinant viral vector;Recombinant viral vector,None;None,"Intramuscular,Intradermal;Intramuscular,Intradermal",Completed,Phase I;Phase I,United Kingdom,2011,No,NCT00890019,https://clinicaltrials.gov/study/NCT00890019
ChAd63-MVA PfCSP,Inactive,,ChAd63 CSP administered alone and with MVA CSP,University of Oxford; European Vaccine Initiative (EVI); Royal College of Surgeon Ireland,Phase I,P. falciparum,Pre-erythrocytic stage,PfCSP,Recombinant viral vector,,Intramuscular,Completed,Phase I,Ireland,2012,No,NCT01450280,https://clinicaltrials.gov/ct2/show/NCT01450280
ChAd63-MVA Pfs25-IMX313 ,Inactive,,Safety and immunogenicity of ChAd63 Pfs-25IMX313 alone and with MVA Pfs25-IMX313 (VAC062),University of Oxford,Phase I,P. falciparum,Sexual stage,Pfs25,Recombinant viral vector,,Intramuscular,Completed,Phase I,United Kingdom,2017,No,NCT02532049,https://clinicaltrials.gov/ct2/show/NCT02532049
ChAd63-MVA PvDBP,Active,,"Phase Ia of ChAd63 PvDBP, with or without MVA PvDBP as heterologous prime-boost",University of Oxford,Phase II,P. vivax,Blood stage,PvDBP,Recombinant viral vector,,Intramuscular,Completed,Phase I,United Kingdom,2014,No,NCT01816113,https://clinicaltrials.gov/ct2/show/NCT01816113
ChAd63-MVA PvDBP,Active,,Phase IIa challenge study of ChAd63 PvDBP and MVA PvDBP heterologous prime-boost in healthy adults in the UK (VAC071),University of Oxford,Phase II,P. vivax,Blood stage,PvDBP,Recombinant viral vector,,Intramuscular,Completed,Phase II,United Kingdom,2022,Yes,NCT04009096,https://clinicaltrials.gov/ct2/show/NCT04009096
ChAd63-MVA Rh5,Inactive,,ChAd63 Rh5 alone and with heterologous prime-boost with MVA Rh5 (VAC057),University  of Oxford; European Commission,Phase I,P. falciparum,Blood stage,PfRh5,Recombinant viral vector,,Intramuscular,Completed,Phase Ia,United Kingdom,2015,No,NCT02181088,https://clinicaltrials.gov/ct2/show/NCT02181088
ChAd63-MVA Rh5,Inactive,,"ChAd63 Rh5 with MVA Rh5 heterologous prime-boost in adults, young children and infants living in Tanzania",University  of Oxford; Ifakara Health Institute; UK Medical Research Council,Phase I,P. falciparum,Blood stage,PfRh5,Recombinant viral vector,,Intramuscular,Completed,Phase Ib,Tanzania,2019,No,NCT03435874; PACTR201710002722229; ISRCTN47448832,https://clinicaltrials.gov/ct2/show/NCT03435874; https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=2722; https://www.isrctn.com/ISRCTN47448832
ChAdOx1-MVA LS2,Inactive,,"Safety, immunogenicity and protective efficacy of ChAdOx1-MVA LS2 (LSA1 + LSAP2) prime boost in healthy UK adults (VAC067)",University of Oxford,Phase II,P. falciparum,Pre-erythrocytic stage,PfLS2,Recombinant viral vector,,Parenteral,Completed,Phase I/II,United Kingdom,2017,Yes,NCT03203421; EUCTR2017-001049-28-GB,https://clinicaltrials.gov/ct2/show/NCT03203421; https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2017-001049-28
Chemically attenuated Pf7G8,Active,,An efficacy study in healthy malaria-naive adults for purified P. falciparum 7G8 parasites attenuated with Tafuramycin-A,Griffith University,Phase I,P. falciparum,Blood stage,Whole parasite,Whole parasite,,Intravenous,Completed,Phase I,Australia,Not reported,Yes,ACTRN12618001314213,https://trialsearch.who.int/?TrialID=ACTRN12618001314213; https://www.anzctr.org.au/Trial/Registration/TrialReview.aspx?ACTRN=12618001314213
DNA-Ad5 PfCSP PfAMA1,Inactive,,DNA- and Ad5-vectored prime boost regimen encoding PfCSP and PfAMA1,Walter Reed Army Institute of Research (WRAIR); U.S. Army Medical Research and Development Command; United States Agency for International Development (USAID),Phase II,P. falciparum,"Pre-erythrocytic stage,Blood stage","PfAMA1,PfCSP","DNA vaccine,Recombinant viral vector",,Intramuscular,Completed,Phase I/II,United States,2015,Yes,NCT00870987,https://clinicaltrials.gov/ct2/show/NCT00870987
DNA-ChAd63 PfCSP PfAMA1;DNA-ChAd63 PfCSP PfAMA1 ME-TRAP,Active;Active,None;None,"Two heterologous prime-boost vaccine regimens in healthy, malaria naïve adults. DNA plasmid vaccine prime and ChAd63/CA (PfCSP, PfAMA1) or ChAd63/CAT (PfCSP, PfAMA1, ME-TRAP)",US Naval Medical Research Center; Walter Reed Army Institute of Research (WRAIR); University of Oxford; U.S. Army Medical Research and Development Command; United States Agency for International Development (USAID),Phase I;Phase I,P. falciparum;P. falciparum,"Pre-erythrocytic stage,Blood stage;Pre-erythrocytic stage,Blood stage","PfAMA1,PfCSP;PfCSP,PfAMA1,ME-TRAP","DNA vaccine,Recombinant viral vector;DNA vaccine,Recombinant viral vector",None;None,Intramuscular,Completed,Phase I,United States,2020,Yes,NCT03341754,https://clinicaltrials.gov/ct2/show/NCT03341754
DNA-MVA ME-TRAP,Inactive,,DNA ME-TRAP and MVA ME-TRAP prime boost regimen in Gambian adults,London School of Hygiene & Tropical Medicine (LSHTM),Phase I,P. falciparum,Pre-erythrocytic stage,ME-TRAP,"DNA vaccine,Recombinant viral vector",,Intramuscular; Intradermal,Completed,Phase I,The Gambia,2002,No,ISRCTN05221133,https://trialsearch.who.int/Trial2.aspx?TrialID=ISRCTN05221133
EBA175 RII-NG,Inactive,,Safety and immunogenicity of EBA175 RII-NG in semi-immune adults in Ghana,US National Institute of Allergy and Infectious Diseases (NIAID),Phase I,P. falciparum,Blood stage,PfEBA175,Recombinant subunit,,Intramuscular,Completed,Phase I,Ghana,2012,No,NCT01026246,https://clinicaltrials.gov/ct2/show/NCT01026246
EBA175 RII-NG,Inactive,,Safety and immunogenicity of EBA175 RII-NG in health US adults,US National Institute of Allergy and Infectious Diseases (NIAID),Phase I,P. falciparum,Blood stage,PfEBA175,Recombinant subunit,,Intramuscular,Completed,Phase I,United States,2008,No,NCT00347555,https://clinicaltrials.gov/ct2/show/NCT00347555
EP1300,Inactive,,"Dose-escalation study of poly-epitope DNA vaccine (PfCSP, SSP2/TRAP, LSA1, and EXP1) via electroporation",US National Institute of Allergy and Infectious Diseases (NIAID),Phase I,P. falciparum,Pre-erythrocytic stage,"PfCSP,PfSSP2,PfTRAP,PfLSA1,PfEXP1",DNA vaccine,,Parenteral,Completed,Phase I,United States,2012,No,NCT01169077,https://clinicaltrials.gov/ct2/show/NCT01169077
FMP010/AS01B,Inactive,,Phase 1a dose escalation study of FMP010/AS01B  in healthy malaria-naïve adults,GlaxoSmithKline (GSK); Kenya Medical Research Institute (KEMRI); U.S. Army Medical Research and Development Command; US Agency for International Development (USAID); Walter Reed Army Institute of Research,Phase I,P. falciparum,Blood stage,PfMSP1,Recombinant subunit,AS01B,Intramuscular,Completed,Phase Ia,United States,2009,No,NCT00666380,https://clinicaltrials.gov/ct2/show/NCT00666380
FMP010/AS01B,Inactive,,Phase 1b  study of FMP010/AS01B  in malaria-experienced adults in Kenya,GlaxoSmithKline (GSK); Kenya Medical Research Institute (KEMRI); U.S. Army Medical Research and Development Command; US Agency for International Development (USAID); Walter Reed Army Institute of Research,Phase I,P. falciparum,Blood stage,PfMSP1,Recombinant subunit,AS01B,Intramuscular,Completed,Phase Ib,Kenya,2009,No,NCT02458092,https://clinicaltrials.gov/ct2/show/NCT02458092
FMP010/AS02A,Inactive,,"Safety, immunogenicity and efficacy of FMP1/AS02A in 12-47 month old children in Western Kenya",GlaxoSmithKline (GSK); PATH; Walter Reed Army Institute of Research (WRAIR); Kenya Medical Research Institute (KEMRI),Phase II,P. falciparum,Blood stage,PfMSP1,Recombinant subunit,AS02A,Intramuscular,Completed,Phase II,Kenya,2007,No,NCT00223990,https://clinicaltrials.gov/study/NCT00223990
FMP010/AS02A,Inactive,,Safety and reactogenicity of FMP-1/AS02A in malaria-exposed children in western Kenya aged 12-47 months,GlaxoSmithKline (GSK);PATH;Walter Reed Army Institute of Research (WRAIR);Kenya Medical Research Institute (KEMRI),Phase II,P. falciparum,Blood stage,PfMSP1,Recombinant subunit,AS02A,Intramuscular,Completed,Phase I,Kenya,2005,No,NCT00317473,https://clinicaltrials.gov/study/NCT00317473
FMP010/AS02A,Inactive,,"Safety and immunogenicity of MSP1 malaria vaccine candiddate FMP1/AS02A in semi-immune adults in Bandiagara, Mali",GlaxoSmithKline (GSK); PATH; Walter Reed Army Institute of Research (WRAIR); US National Institute of Allergy and Infectious Diseases (NIAID),Phase II,P. falciparum,Blood stage,PfMSP1,Recombinant subunit,AS02A,Intramuscular,Completed,Phase I,Mali,2005,No,NCT00308061,https://clinicaltrials.gov/study/NCT00308061
"FMP010/AS02A + RTS,S/AS02A",Inactive,,"Safety, immunogenicity and preliminary efficacy of FMP1 and RTS,S with adjuvant SBAS2 given concomitantly in separate injections",GlaxoSmith Kline (GSK); Walter Reed Army Institute of Research (WRAIR),Phase II,P. falciparum,"Blood stage,Pre-erythrocytic stage","PfMSP1,PfCSP","Recombinant subunit,Virus-like particle",AS02A,Intramuscular,Completed,Phase II,United States,2002,Yes,NCT01556945,https://clinicaltrials.gov/study/NCT01556945
FMP011/AS01B,Inactive,,"Controlled malaria challenge study of safety, immunogenicity and preliminary efficacy of FMP011/AS01B in malaria-naïve adults in the US",GlaxoSmithKline (GSK); PATH; Walter Reed Army Institute of Research (WRAIR),Phase II,P. falciparum,Pre-erythrocytic stage,PfLSA1,Recombinant subunit,AS01B,Intramuscular,Completed,Phase I/IIa,United States,2007,Yes,NCT00312663,https://clinicaltrials.gov/study/NCT00312663
FMP011/AS02A,Inactive,,"Safety, immunigenicity and preliminary efficacy of FMP011/AS02A malaria vaccine in malaria naïve adults in the US",GlaxoSmithKline (GSK); PATH; Walter Reed Army Institute of Research (WRAIR),Phase II,P. falciparum,Pre-erythrocytic stage,PfLSA1,Recombinant subunit,AS02A,Intramuscular,Completed,Phase I/II,United States,2007,Yes,NCT00312702,https://clinicaltrials.gov/study/NCT00312702
FMP012/AS01B,Inactive,,FMP012 administered with AS01B in healthy malaria-naive adults,U.S. Army Medical Research and Development Command; Walter Reed Army Institute of Research (WRAIR); United States Agency for International Development (USAID); Military Infectious Disease Research Program (MIDRP); GlaxoSmithKline (GSK),Phase I,P. falciparum,"Mosquito stage,Pre-erythrocytic stage",PfCelTOS,Recombinant subunit,AS01B,Intramuscular,Completed,Phase I,United States,2015,Yes,NCT02174978,https://clinicaltrials.gov/ct2/show/NCT02174978
FMP012/GLA-SE,Inactive,,PfCelTOS administered intramuscularly in healthy malaria-naive adults,U.S. Army Medical Research and Development Command; Walter Reed Army Institute of Research (WRAIR); United States Agency for International Development (USAID); Infectious Disease Research Institute (IDRI),Phase I,P. falciparum,"Mosquito stage,Pre-erythrocytic stage",PfCelTOS,Recombinant subunit,GLA-SE,Intramuscular,Completed,Phase I,United States,2012,Yes,NCT01540474,https://clinicaltrials.gov/ct2/show/NCT01540474
FMP013/ALFQ,Active,,"Safety, protective efficacy, and immunogenicity of FMP013/ALFQ in healthy malaria-naïve adults with CHMI",Walter Reed Army Institute of Research; U.S. Army Medical Research and Development Command,Phase I,P. falciparum,Pre-erythrocytic stage,PfCSP,Recombinant subunit,ALFQ,Intramuscular,Ongoing,Phase I,United States,2023 (expected),Yes,NCT04268420,https://clinicaltrials.gov/ct2/show/NCT04268420
